timestamp,ecg_measurement,qrs_detected
1.501687600000000000e+07,2.194525957100000202e+00,0.000000000000000000e+00
1.502080400000000000e+07,2.194525957100000202e+00,0.000000000000000000e+00
1.502472400000000000e+07,2.184750795299999826e+00,0.000000000000000000e+00
1.502864400000000000e+07,2.155425310100000047e+00,0.000000000000000000e+00
1.503255600000000000e+07,2.111436843799999963e+00,0.000000000000000000e+00
1.503647600000000000e+07,2.072336196799999808e+00,0.000000000000000000e+00
1.504038800000000000e+07,2.033235549900000105e+00,0.000000000000000000e+00
1.504430400000000000e+07,1.979472160300000061e+00,0.000000000000000000e+00
1.504822400000000000e+07,1.915933513599999971e+00,0.000000000000000000e+00
1.505215200000000000e+07,1.842619800500000071e+00,0.000000000000000000e+00
1.505606800000000000e+07,1.774193525300000074e+00,0.000000000000000000e+00
1.505999600000000000e+07,1.720430135700000029e+00,0.000000000000000000e+00
1.506390800000000000e+07,1.666666602999999913e+00,0.000000000000000000e+00
1.506782800000000000e+07,1.617790794300000057e+00,0.000000000000000000e+00
1.507174000000000000e+07,1.568914985599999978e+00,0.000000000000000000e+00
1.507566800000000000e+07,1.529814243299999932e+00,0.000000000000000000e+00
1.507958800000000000e+07,1.510263919800000076e+00,0.000000000000000000e+00
1.508350000000000000e+07,1.505376338900000110e+00,0.000000000000000000e+00
1.508742400000000000e+07,1.480938434600000075e+00,0.000000000000000000e+00
1.509134400000000000e+07,1.466275691899999956e+00,0.000000000000000000e+00
1.509526400000000000e+07,1.466275691899999956e+00,0.000000000000000000e+00
1.509918000000000000e+07,1.471163272799999922e+00,0.000000000000000000e+00
1.510311200000000000e+07,1.485826015400000033e+00,0.000000000000000000e+00
1.510703200000000000e+07,1.485826015400000033e+00,0.000000000000000000e+00
1.511095200000000000e+07,1.480938434600000075e+00,0.000000000000000000e+00
1.511487200000000000e+07,1.485826015400000033e+00,0.000000000000000000e+00
1.511878000000000000e+07,1.505376338900000110e+00,0.000000000000000000e+00
1.512269200000000000e+07,1.534701824099999889e+00,0.000000000000000000e+00
1.512660400000000000e+07,1.539589405000000077e+00,0.000000000000000000e+00
1.513050800000000000e+07,1.544476985900000043e+00,0.000000000000000000e+00
1.513442800000000000e+07,1.544476985900000043e+00,0.000000000000000000e+00
1.513834800000000000e+07,1.554252147599999967e+00,0.000000000000000000e+00
1.514227600000000000e+07,1.573802566499999944e+00,0.000000000000000000e+00
1.514619600000000000e+07,1.578690147299999902e+00,0.000000000000000000e+00
1.515011600000000000e+07,1.578690147299999902e+00,0.000000000000000000e+00
1.515402800000000000e+07,1.578690147299999902e+00,0.000000000000000000e+00
1.515795200000000000e+07,1.593352890000000022e+00,0.000000000000000000e+00
1.516187200000000000e+07,1.612903213500000099e+00,0.000000000000000000e+00
1.516580000000000000e+07,1.622678375200000023e+00,0.000000000000000000e+00
1.516972000000000000e+07,1.622678375200000023e+00,0.000000000000000000e+00
1.517362800000000000e+07,1.627565956099999989e+00,0.000000000000000000e+00
1.517755600000000000e+07,1.642228698700000100e+00,0.000000000000000000e+00
1.518148400000000000e+07,1.661779022199999956e+00,0.000000000000000000e+00
1.518540400000000000e+07,1.666666602999999913e+00,0.000000000000000000e+00
1.518931600000000000e+07,1.666666602999999913e+00,0.000000000000000000e+00
1.519322800000000000e+07,1.666666602999999913e+00,0.000000000000000000e+00
1.519714000000000000e+07,1.676441764800000067e+00,0.000000000000000000e+00
1.520106000000000000e+07,1.695992231299999986e+00,0.000000000000000000e+00
1.520498400000000000e+07,1.710654973900000098e+00,0.000000000000000000e+00
1.520890400000000000e+07,1.705767393099999918e+00,0.000000000000000000e+00
1.521282000000000000e+07,1.695992231299999986e+00,0.000000000000000000e+00
1.521673600000000000e+07,1.686216926499999991e+00,0.000000000000000000e+00
1.522065200000000000e+07,1.695992231299999986e+00,0.000000000000000000e+00
1.522456800000000000e+07,1.700879812199999952e+00,0.000000000000000000e+00
1.522847600000000000e+07,1.705767393099999918e+00,0.000000000000000000e+00
1.523240800000000000e+07,1.700879812199999952e+00,0.000000000000000000e+00
1.523632000000000000e+07,1.700879812199999952e+00,0.000000000000000000e+00
1.524022800000000000e+07,1.710654973900000098e+00,0.000000000000000000e+00
1.524414400000000000e+07,1.710654973900000098e+00,0.000000000000000000e+00
1.524806000000000000e+07,1.705767393099999918e+00,0.000000000000000000e+00
1.525198000000000000e+07,1.695992231299999986e+00,0.000000000000000000e+00
1.525590800000000000e+07,1.695992231299999986e+00,0.000000000000000000e+00
1.525983600000000000e+07,1.705767393099999918e+00,0.000000000000000000e+00
1.526375600000000000e+07,1.710654973900000098e+00,0.000000000000000000e+00
1.526766800000000000e+07,1.705767393099999918e+00,0.000000000000000000e+00
1.527159200000000000e+07,1.700879812199999952e+00,0.000000000000000000e+00
1.527550800000000000e+07,1.705767393099999918e+00,0.000000000000000000e+00
1.527944000000000000e+07,1.725317716499999987e+00,0.000000000000000000e+00
1.528337600000000000e+07,1.739980459200000107e+00,0.000000000000000000e+00
1.528728800000000000e+07,1.739980459200000107e+00,0.000000000000000000e+00
1.529120800000000000e+07,1.730205297399999953e+00,0.000000000000000000e+00
1.529512800000000000e+07,1.725317716499999987e+00,0.000000000000000000e+00
1.529905200000000000e+07,1.735092878299999919e+00,0.000000000000000000e+00
1.530297600000000000e+07,1.744868040000000065e+00,0.000000000000000000e+00
1.530688800000000000e+07,1.744868040000000065e+00,0.000000000000000000e+00
1.531078400000000000e+07,1.739980459200000107e+00,0.000000000000000000e+00
1.531469600000000000e+07,1.749755620900000030e+00,0.000000000000000000e+00
1.531860400000000000e+07,1.759530782599999954e+00,0.000000000000000000e+00
1.532252400000000000e+07,1.783968686999999997e+00,0.000000000000000000e+00
1.532644400000000000e+07,1.793743848799999929e+00,0.000000000000000000e+00
1.533036400000000000e+07,1.798631429600000109e+00,0.000000000000000000e+00
1.533428400000000000e+07,1.798631429600000109e+00,0.000000000000000000e+00
1.533821600000000000e+07,1.818181896200000036e+00,0.000000000000000000e+00
1.534214400000000000e+07,1.827957057899999960e+00,0.000000000000000000e+00
1.534606400000000000e+07,1.847507381400000037e+00,0.000000000000000000e+00
1.534998000000000000e+07,1.852394962300000003e+00,0.000000000000000000e+00
1.535390800000000000e+07,1.857282543099999961e+00,0.000000000000000000e+00
1.535783200000000000e+07,1.862170123999999927e+00,0.000000000000000000e+00
1.536174000000000000e+07,1.881720447500000004e+00,0.000000000000000000e+00
1.536566000000000000e+07,1.891495609199999928e+00,0.000000000000000000e+00
1.536957600000000000e+07,1.901270771000000082e+00,0.000000000000000000e+00
1.537348800000000000e+07,1.886608028399999970e+00,0.000000000000000000e+00
1.537738800000000000e+07,1.876832866600000038e+00,0.000000000000000000e+00
1.538131200000000000e+07,1.871945285700000072e+00,0.000000000000000000e+00
1.538524000000000000e+07,1.862170123999999927e+00,0.000000000000000000e+00
1.538916000000000000e+07,1.837732219600000105e+00,0.000000000000000000e+00
1.539308400000000000e+07,1.813294315300000070e+00,0.000000000000000000e+00
1.539701600000000000e+07,1.808406638999999982e+00,0.000000000000000000e+00
1.540091600000000000e+07,1.779081106100000031e+00,0.000000000000000000e+00
1.540482800000000000e+07,1.764418363499999920e+00,0.000000000000000000e+00
1.540874000000000000e+07,1.735092878299999919e+00,0.000000000000000000e+00
1.541266000000000000e+07,1.720430135700000029e+00,0.000000000000000000e+00
1.541656800000000000e+07,1.715542554800000064e+00,0.000000000000000000e+00
1.542048800000000000e+07,1.725317716499999987e+00,0.000000000000000000e+00
1.542440800000000000e+07,1.730205297399999953e+00,0.000000000000000000e+00
1.542831600000000000e+07,1.720430135700000029e+00,0.000000000000000000e+00
1.543224000000000000e+07,1.710654973900000098e+00,0.000000000000000000e+00
1.543616000000000000e+07,1.705767393099999918e+00,0.000000000000000000e+00
1.544008000000000000e+07,1.715542554800000064e+00,0.000000000000000000e+00
1.544400400000000000e+07,1.725317716499999987e+00,0.000000000000000000e+00
1.544792800000000000e+07,1.730205297399999953e+00,0.000000000000000000e+00
1.545184400000000000e+07,1.720430135700000029e+00,0.000000000000000000e+00
1.545576000000000000e+07,1.715542554800000064e+00,0.000000000000000000e+00
1.545968400000000000e+07,1.720430135700000029e+00,0.000000000000000000e+00
1.546360000000000000e+07,1.735092878299999919e+00,0.000000000000000000e+00
1.546750800000000000e+07,1.779081106100000031e+00,0.000000000000000000e+00
